"trans_id","prod_id"
"00006681446956273468","13 HOURS DVD WS"
"00006681446956273468","CC MB HYD TEAL CLN"
"00006681446956273468","COV TTLTEASE MSC-800"
"00006681446956273468","CR TP 3DW FOAM 4.8"
"00006681446956273468","EASYFIT CAP"
"00006681446956273468","MS BROWNSTONE BR BTC"
"00006681446956273468","SOS WRAP CAP"
"00006986480956200448","APEX 2X PILL PLANNER"
"00006986480956200448","BAYER LOW TAB 300"
"00006986480956200448","EQ JOCK ITCH SPRAY"
"00006986480956200448","EQ NAPROXEN 300 CT"
"00006986480956200448","GE SS PLAID WOVEN"
"00006986480956200448","GV MULTIGRN CRK 15Z"
"00006986480956200448","GV REG SALTINES"
"00006986480956200448","HKIST HONEY GRAHAM"
"00006986480956200448","PG 3X5 MEMO BOOK"
"00014364284794092236","BLACK SPORTS EARPHON"
"00014364284794092236","CHPS AHY OR C CP 13Z"
"00014364284794092236","CHS BALL BARREL"
"00014364284794092236","FG SS ELGANT CREW TE"
"00014364284794092236","FMS AM CH CP P 12.4Z"
"00014364284794092236","FUNYUNS REGULAR"
"00014364284794092236","LD BLKSOT SS CREW T"
"00014364284794092236","SBR ORIGINAL BF JRKY"
"00014364284794092236","SH TWINTIP BLK 2CT"
"00014664214792024276","BP BF BL HD 15OZ"
"00014664214792024276","CM HZLNT 32OZ"
"00014664214792024276","FP ADT CKN/VEG 1.5LB"
"00014664214792024276","GV 36 LRG A EGG"
"00014664214792024276","GV 8 LSALTED ORIG PC"
"00014664214792024276","GV 8 WAVY PC"
"00014664214792024276","GV ORGANIC 2 GAL"
"00014664214792024276","LNDR PLAIN BAGEL 6CT"
"00014664214792024276","SC HAWAIIAN HD BUN"
"00014664214792024276","SD TANGY 40FO 6PK"
"00014664214792024276","TPP OJ 8FO 6PK"
"00014768281799061236","BD 14Z LOW SOD ALMDS"
"00014768281799061236","COLGIN HKY LIQ SMK"
"00014768281799061236","DM PEACH CUP NSA"
"00014768281799061236","EGGPLANT PURPLE HM"
"00014768281799061236","HUNT ITAL TOM PST 6Z"
"00014768281799061236","LIVFIT 12 PKT"
"00014768281799061236","LL LEMON POPPY 4PK"
"00014768281799061236","MC BASIL LEAVES B"
"00014768281799061236","MG DICD FIRE ROASTED"
"00014768281799061236","RS ADY YEAST 3-STRIP"
"00014768281799061236","RS NTRTNL YEAST FLKS"
"00014867263792026286","BER PM 750ML 12PK"
"00014867263792026286","CG TP MAX CL MT 2X6"
"00014867263792026286","SECBDYSPY PARIS RO"
"00014867263792026286","SPRKLE 6 BIG PRT BNS"
"00014867263792026286","SUAV LAV 135"
"00014867263792026286","XTRA MTN RN 200OZ"
"00022646022873169034","DEBIT LOAD"
"00022646022873169034","VANILLA MC VL DOTS"
"00106183448953285418","1 MILK HG UR"
"00106183448953285418","BANANA PREM PER LB"
"00106183448953285418","BROCCOLI CROWN HM"
"00106183448953285418","CHERRY RNR WA"
"00106183448953285418","CHERRY RUBY WA"
"00106183448953285418","FRENCH BREAD"
"00106183448953285418","GRAPE GRN SDLS CA DF"
"00106183448953285418","PORK BACKRIB"
"00106183448953285418","SLD HRTS ROM 10Z HM"
"00106688456956299408","AVO HASS 72 PE MP"
"00106688456956299408","CHEERIOS 21OZ"
